title,track_id,engine_primary,engine_secondary,engine_conf,engine_risk,dj_primary,dj_comment
01 The Edge,f76b70d68c00d978,bridge,peak,0.21,0.56,,
03-Daniel_Avery_-_Movement,971da13a2bfa5f02,bridge,builder,0.22,0.61,,
05 Smoke (feat. Jamie xx),b6d652efacce9b29,bridge,builder,0.22,0.69,,
3kelves - Asha Bhosle - Disco Station (onemohit x 3kelves edit),e93bfb1b39c3e9c2,bridge,,0.21,0.53,,
AIROD - Rave Cycle (Original Mix),a749c305f32f7d51,builder,,0.25,0.47,,
AVG - AY AY (Original Mix),7692c44fb5af946e,bridge,,0.22,0.45,,
Ahadadream - Hydration (Original Mix),392736d37a8a005c,bridge,peak,0.21,0.67,,
Ahadadream - Peak (Original Mix),35d013fde0ded7f3,builder,,0.26,0.43,,
Ahoona - Desert Storm (Original Mix),ed357b79a6619228,bridge,,0.23,0.51,,
Aleem - Eats Everything - Fries With That- (Unmixed) - 24 Filtri Organi (Main Mix),ce1a8753825f8296,builder,bridge,0.21,0.7,,
"Anish Kumar - Come On, Let's Get It",0baf390d03731f62,builder,bridge,0.21,0.68,,
"Anish Kumar, Hagop Tchaparian - Part II (Original Mix)",1614e51dbcad0e5c,builder,bridge,0.25,0.55,,
Anthony Naples - Perk (Original Mix),d8cc780731a1d437,bridge,builder,0.23,0.52,,
Arun Verone - Eats Everything - Fries With That- (Unmixed) - 04 The Coming (Keep It Coming),794ea44463ede6fd,builder,peak;bridge,0.23,0.61,,
Asa Moto - Twee Dikke Nekken,c10093542654c307,builder,bridge,0.25,0.5,,
"Âme, Busiswa - Pha Na Pha - 01 Pha Na Pha",5c82ea37fcbfa28d,bridge,,0.22,0.44,,
BRUX (AUS) - Pull The Trigger (Original Mix),06987e170b8722e1,builder,,0.26,0.41,,
Barry Can_t Swim - Different (Original Mix),c9bf29edea6b30f1,builder,,0.26,0.41,,
"Beam, Danny Brown, PARISI, Fred again.. - OGdub (Original Mix)",f985c7326fe7d4e3,builder,bridge,0.25,0.5,,
Ben Lukas Boysen - Quasar,5a4ea6a9f240e672,builder,,0.27,0.44,,
Bicep - CHROMA 001 HELIUM (Original Mix),f9fe2e1e1ca0264e,bridge,,0.23,0.44,,
Bicep - CHROMA 004 ROLA (Original Mix),ecf64aa98ccd4467,bridge,,0.22,0.52,,
Bicep - CHROMA 010 BRILLO (Original Mix),77e5157a680273eb,peak,builder;bridge,0.22,0.58,,
Bicep - CHROMA 012 TANGZ II,d03adf4f61816c1b,builder,bridge,0.21,0.67,,
Bicep - Glue (Original Mix),c02823fe2164c6bc,bridge,,0.24,0.29,,
Bicep - Opal (Four Tet Remix),63410ea8a613b072,builder,,0.26,0.44,,
Bicep - Siena (feat. Clara La San),cc70ec7362e82f93,bridge,builder,0.21,0.69,,
Bodhi - 433Mhz (Original Mix),b2d3c5c17b5e26ac,builder,bridge,0.26,0.47,,
Bodhi - Thirst (Original Mix),79d93a2a256d0920,builder,bridge,0.24,0.62,,
Borne - Give It To Me (Original Mix),e14e5bb4ca8b4449,builder,,0.25,0.4,,
Borne - My Mind (Original Mix),36cae2ae1404c8bc,builder,bridge,0.24,0.56,,
Borne - Silence (Original Mix),53fbcbdbf4e05d8d,builder,,0.26,0.45,,
"Borne, Alexis B - Hush (Original Mix)",ef893bb059923fdc,builder,,0.26,0.39,,
"Brazy, KILIMANJARO - CULTURE CLUB (Original Mix)",66ce10a39728ac1b,bridge,,0.22,0.36,,
Breaka - Berry Baby Cheeto,7f7b41fd20c0afbe,builder,,0.27,0.44,,
Broken English Club - Crawling (Original Mix),eef9f387ab98e8c0,peak,bridge,0.24,0.51,,
"Buraka Som Sistema, Chris Lorenzo, Marco Strous - BaBaBa (Hangover) (Extended Mix)",8d903670791311a4,builder,,0.26,0.45,,
Butch - Schlecker (Original Mix),0d74f481c29d23c7,bridge,,0.22,0.39,,
COIDO - Irreversible (Original Mix),cdebc650762ffac4,builder,,0.26,0.45,,
