title,artist,album,isrc,isFound
"Opal (Four Tet Remix)",Bicep,"Opal (Four Tet Remix)",GBCFB1800028,1
"HARDSTYLE 2 (Lou Nour remix)","Fred again.., KETTAMA & Shady Nasty","USB002 REMIXES",GBAHS2600033,1
smoke,"JD. REID","sometimes i wonder",QZPEW2514288,1
Shine,Prozak,"Like This",UKQNV2300074,1
Gosh,"Jamie xx","In Colour",UK7MC2000079,0
"MELTING POINT 溶點",JIALING,"BLIZZARD 大雪",QZFZ32538912,0
Different,"Barry Can't Swim",Loner,GBCFB2501489,1
"No More","Josi Devil","No More",UKA9G1700300,1
"Steady Slurkin'","Chef Boyarbeatz","The Power of Sound",GBKQU2259420,1
Alert,Envy,Alert,GBVPL2500047,1
"Dem Not Ready","Flava D","Dem Not Ready",GB2LD2610037,1
"BIG J FALLS",JIALING,"BIG J FALLS",UKW3K2500009,1
Hydration,Ahadadream,3:33,CA5KR2031927,1
"Incredible Dub","IsGwan, M-Beat & General Levy","Incredible Dub",GB2LD2520642,1
"Give It To Me",borne,"Give It To Me",CA5KR2477657,1
Energy,"Flava D & Stush",Energy,GB2LD2520538,1
"HARDSTYLE 2","Fred again.., KETTAMA & Shady Nasty","HARDSTYLE 2",GBAHS2501370,1
"BE THE GLITCH","SICARIA & Lou Nour","BE THE GLITCH",DGA052534390,1
Cicada,YAANO,"Cicada EP",CA5KR2335619,1
Silence,borne,Silence,CA5KR2431798,1
"Burnt Lungs",Drone,"Dance With the Devil",UKEWB1600329,1
"My Mind",borne,"My Mind",CA5KR2414974,1
