pair_id,context_id,title_a,title_b,track_id_a,track_id_b,track_a_source_path,track_b_source_path,engine_decision_class,engine_recommendation_policy,engine_score,engine_confidence,engine_strategy,engine_blend_profile_auto,engine_blend_profile_explanation,engine_alternative_strategies,engine_standard_blend_allowed,engine_tempo_gate,engine_harmonic_gate,engine_tempo_feasibility,engine_tempo_relation,engine_harmonic_relation,engine_context_fit,engine_bass_conflict_risk,engine_vocal_clash_risk,engine_window_a_id,engine_window_a_type,engine_window_a(mm:ss),engine_window_b_id,engine_window_b_type,engine_window_b(mm:ss),engine_pair_window_a(mm:ss),engine_pair_window_b(mm:ss),engine_pair_score,engine_compatible_contexts,engine_policy_reasons,engine_risks,engine_warnings,dj_verdict(accept/review/reject),dj_mixability_rating,dj_transition_strategy,dj_comment
06987e170b8722e1__0b6db038bbd47b93,,BRUX (AUS) - Pull The Trigger (Original Mix),"Fold, cu.rve - Business (Original Mix)",06987e170b8722e1,0b6db038bbd47b93,data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,"data/raw/Fold, cu.rve - Business (Original Mix).mp3",review_required,review_only,0.6664,0.69,standard_blend,bass_swap,Auto mode selects bass swap because bass conflict risk 0.49 favors a deliberate low-end handoff.,phrase_aligned_blend;short_blend,True,pass,review,high,direct,unknown,,0.4893,0.3348,06987e170b8722e1_tw3,mix_out,2:50-3:06,0b6db038bbd47b93_tw3,mix_in,0:17-0:33,2:50-3:06,0:17-0:33,1.4522,,harmonic risk 0.60 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.49);harmonic risk 0.60 — unknown key move;harmonic risk 0.60 needs masking or careful transition timing,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable",,,,
06987e170b8722e1__0d74f481c29d23c7,,BRUX (AUS) - Pull The Trigger (Original Mix),Butch - Schlecker (Original Mix),06987e170b8722e1,0d74f481c29d23c7,data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,data/raw/Butch - Schlecker (Original Mix).mp3,non_standard_strategy_required,review_only,0.5904,0.69,tempo_ramp,plain_blend,Auto mode falls back to plain blend because the engine prefers tempo ramp over a standard overlap.,echo_out;break_transition;hard_cut,False,strategy_dependent,review,medium,direct,unknown,,0.398,0.3348,06987e170b8722e1_tw3,mix_out,2:50-3:06,0d74f481c29d23c7_tw1,mix_out,6:12-6:22,2:50-3:06,6:12-6:22,1.6162,club_closing;club_peak,effective BPM gap 9.8% needs a non-standard tempo strategy;harmonic risk 0.60 needs masking or careful transition timing;shared rules require manual review,harmonic risk 0.60 — unknown key move;effective BPM gap 9.8% needs a non-standard tempo strategy;harmonic risk 0.60 needs masking or careful transition timing;tempo relation requires a non-standard transition strategy,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable;standard blend is risky at this BPM gap — non-standard strategy preferred; shared rules suggest a non-standard exit",,,,
06987e170b8722e1__4056c8ee53cfb090,,BRUX (AUS) - Pull The Trigger (Original Mix),"Oscar Farrell, Mount XLR - Mod Break (Original Mix)",06987e170b8722e1,4056c8ee53cfb090,data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,"data/raw/Oscar Farrell, Mount XLR - Mod Break (Original Mix).mp3",review_required,review_only,0.6227,0.69,phrase_aligned_blend,bass_swap,Auto mode selects bass swap because bass conflict risk 0.49 favors a deliberate low-end handoff.,short_blend;echo_out,True,pass,review,medium,direct,unknown,,0.4923,0.2867,06987e170b8722e1_tw3,mix_out,2:50-3:06,4056c8ee53cfb090_tw1,mix_in,1:20-1:36,2:50-3:06,1:20-1:36,1.7851,club_closing;club_peak,harmonic risk 0.59 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.49);harmonic risk 0.59 — unknown key move;harmonic risk 0.59 needs masking or careful transition timing,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable;tempo gap is above easy-blend range — keep the overlap disciplined",,,,
06987e170b8722e1__48c18f8c79fc588e,,BRUX (AUS) - Pull The Trigger (Original Mix),"Mala, Magugu - Militant Don (Vocal)",06987e170b8722e1,48c18f8c79fc588e,data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,"data/raw/Mala, Magugu - Militant Don (Vocal).mp3",review_required,review_only,0.675,0.69,standard_blend,bass_swap,Auto mode selects bass swap because bass conflict risk 0.51 favors a deliberate low-end handoff.,phrase_aligned_blend;short_blend,True,pass,review,high,direct,unknown,,0.509,0.2722,06987e170b8722e1_tw3,mix_out,2:50-3:06,48c18f8c79fc588e_tw1,mix_in,0:16-0:32,2:50-3:06,0:16-0:32,1.6452,,harmonic risk 0.58 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.51);harmonic risk 0.58 — unknown key move;harmonic risk 0.58 needs masking or careful transition timing,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable",,,,
06987e170b8722e1__76609e489f01f9de,,BRUX (AUS) - Pull The Trigger (Original Mix),Rohaan - Got No _3 (Original Mix),06987e170b8722e1,76609e489f01f9de,data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,data/raw/Rohaan - Got No _3 (Original Mix).mp3,review_required,review_only,0.6766,0.69,standard_blend,bass_swap,Auto mode selects bass swap because bass conflict risk 0.46 favors a deliberate low-end handoff.,phrase_aligned_blend;short_blend,True,pass,review,high,direct,unknown,,0.4604,0.3348,06987e170b8722e1_tw3,mix_out,2:50-3:06,76609e489f01f9de_tw1,bridge,1:31-1:47,2:50-3:06,1:31-1:47,1.4935,club_closing;club_peak,harmonic risk 0.63 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.46);harmonic risk 0.63 — unknown key move;harmonic risk 0.63 needs masking or careful transition timing,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable",,,,
06987e170b8722e1__79d93a2a256d0920,,BRUX (AUS) - Pull The Trigger (Original Mix),Bodhi - Thirst (Original Mix),06987e170b8722e1,79d93a2a256d0920,data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,data/raw/Bodhi - Thirst (Original Mix).mp3,review_required,review_only,0.6598,0.69,short_blend,contour_blend,Auto mode selects contour blend because vocal or mid exposure 0.33 favors a shaped overlap.,phrase_aligned_blend;standard_blend,True,pass,review,high,direct,unknown,,0.4016,0.3348,06987e170b8722e1_tw3,mix_out,2:50-3:06,79d93a2a256d0920_tw1,mix_in,0:59-1:15,2:50-3:06,0:59-1:15,1.7244,club_peak,harmonic risk 0.60 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.40);harmonic risk 0.60 — unknown key move;harmonic risk 0.60 needs masking or careful transition timing,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable",,,,
06987e170b8722e1__85d8116989ea2f32,,BRUX (AUS) - Pull The Trigger (Original Mix),O_Flynn - Srekye (Extended Mix),06987e170b8722e1,85d8116989ea2f32,data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,data/raw/O_Flynn - Srekye (Extended Mix).mp3,review_required,review_only,0.5854,0.69,phrase_aligned_blend,contour_blend,Auto mode selects contour blend because vocal or mid exposure 0.33 favors a shaped overlap.,short_blend;echo_out,True,pass,review,medium,direct,unknown,,0.418,0.3348,06987e170b8722e1_tw3,mix_out,2:50-3:06,85d8116989ea2f32_tw2,mix_in,0:08-0:24,2:50-3:06,0:08-0:24,1.573,club_closing;club_peak,harmonic risk 0.63 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.42);harmonic risk 0.63 — unknown key move;harmonic risk 0.63 needs masking or careful transition timing,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable;tempo gap is above easy-blend range — keep the overlap disciplined",,,,
06987e170b8722e1__a749c305f32f7d51,,BRUX (AUS) - Pull The Trigger (Original Mix),AIROD - Rave Cycle (Original Mix),06987e170b8722e1,a749c305f32f7d51,data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,data/raw/AIROD - Rave Cycle (Original Mix).mp3,non_standard_strategy_required,review_only,0.6272,0.69,tempo_ramp,plain_blend,Auto mode falls back to plain blend because the engine prefers tempo ramp over a standard overlap.,echo_out;break_transition;hard_cut,False,strategy_dependent,review,medium,direct,unknown,,0.509,0.0959,06987e170b8722e1_tw3,mix_out,2:50-3:06,a749c305f32f7d51_tw1,mix_in,0:00-0:09,2:50-3:06,0:00-0:09,1.8062,club_closing;club_peak,effective BPM gap 7.5% needs a non-standard tempo strategy;harmonic risk 0.56 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.51);harmonic risk 0.56 — unknown key move;effective BPM gap 7.5% needs a non-standard tempo strategy;harmonic risk 0.56 needs masking or careful transition timing;tempo relation requires a non-standard transition strategy,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable;standard blend is risky at this BPM gap — non-standard strategy preferred; shared rules suggest a non-standard exit",,,,
06987e170b8722e1__aaecfee7674ae3ed,,BRUX (AUS) - Pull The Trigger (Original Mix),"TSVI, Josi Devil - M.e.S (feat. TSVI) (feat. TSVI)",06987e170b8722e1,aaecfee7674ae3ed,data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,"data/raw/TSVI, Josi Devil - M.e.S (feat. TSVI) (feat. TSVI).mp3",review_required,review_only,0.6859,0.69,short_blend,bass_swap,Auto mode selects bass swap because bass conflict risk 0.51 favors a deliberate low-end handoff.,phrase_aligned_blend;standard_blend,True,pass,review,high,direct,unknown,,0.509,0.1082,06987e170b8722e1_tw3,mix_out,2:50-3:06,aaecfee7674ae3ed_tw1,mix_in,0:33-0:49,2:50-3:06,0:33-0:49,1.9204,club_closing;club_peak,harmonic risk 0.54 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.51);harmonic risk 0.54 — unknown key move;harmonic risk 0.54 needs masking or careful transition timing,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable",,,,
06987e170b8722e1__b2d3c5c17b5e26ac,,BRUX (AUS) - Pull The Trigger (Original Mix),Bodhi - 433Mhz (Original Mix),06987e170b8722e1,b2d3c5c17b5e26ac,data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,data/raw/Bodhi - 433Mhz (Original Mix).mp3,review_required,review_only,0.65,0.69,short_blend,contour_blend,Auto mode selects contour blend because vocal or mid exposure 0.33 favors a shaped overlap.,phrase_aligned_blend;standard_blend,True,pass,review,high,direct,unknown,,0.4354,0.3348,06987e170b8722e1_tw3,mix_out,2:50-3:06,b2d3c5c17b5e26ac_tw2,mix_in,0:49-1:05,2:50-3:06,0:49-1:05,1.5546,,harmonic risk 0.61 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.44);harmonic risk 0.61 — unknown key move;harmonic risk 0.61 needs masking or careful transition timing,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable",,,,
